page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
https://www.homecenter.com.co/,5000,310,41,6304859,1.0,1.0,0.0,26.0,none
https://www.homedepot.ca/,5000,189,62,3472613,1.0,1.0,1.0,37.0,OneTrust
https://www.homedepot.com.mx/,5000,332,100,5941191,1.0,1.0,0.0,34.0,none
https://www.homes.co.jp/,5000,200,47,5906277,1.0,1.0,0.0,26.0,none
https://www.homes.com/,5000,238,42,12432092,1.0,1.0,0.0,18.0,none
https://www.hoodamath.com/,5000,110,24,2710700,1.0,1.0,0.0,10.0,none
https://www.hornbach.de/,5000,64,3,1926788,1.0,0.0,1.0,17.0,Usercentrics
https://www.horoscope.com/,5000,317,124,1861718,1.0,1.0,1.0,23.0,Funding Choices
https://www.hotpepper.jp/,5000,205,35,3765028,1.0,1.0,0.0,17.0,none
https://www.hp.com/,5000,82,8,5334561,0.0,0.0,1.0,15.0,OneTrust
https://www.hs.fi/,5000,133,11,2575244,0.0,1.0,0.0,17.0,none
https://www.huffingtonpost.es/,5000,874,186,33300785,1.0,1.0,1.0,30.0,Funding Choices
https://www.huffpost.com/,5000,1442,272,6107658,1.0,1.0,1.0,44.0,OneTrust
https://www.hulu.com/,5000,269,41,12759968,1.0,1.0,1.0,28.0,Evidon
https://www.iaai.com/,5000,172,68,4605723,1.0,1.0,1.0,25.0,OneTrust
https://www.icc-cricket.com/,5000,150,28,9866602,1.0,1.0,1.0,28.0,OneTrust
https://www.ice.co.il/,5000,290,69,3781546,1.0,1.0,1.0,20.0,Funding Choices
https://www.iceland.co.uk/,5000,88,11,2277130,0.0,0.0,1.0,22.0,OneTrust
https://www.icicibank.com/,5000,121,13,2156987,1.0,0.0,0.0,18.0,none
https://www.icloud.com/,5000,26,4,3647362,0.0,0.0,0.0,8.0,none
https://www.idealo.de/,5000,55,9,975511,1.0,0.0,1.0,19.0,Usercentrics
https://www.idntimes.com/,5000,624,163,3300845,1.0,1.0,1.0,40.0,Funding Choices
https://www.idokep.hu/,5000,472,144,2051405,1.0,1.0,0.0,29.0,none
